date,group,device,gender,ratio
2025-01-01,팰리세이드,MO,male,30.16707
2025-01-02,팰리세이드,MO,male,22.90219
2025-01-03,팰리세이드,MO,male,22.71447
2025-01-04,팰리세이드,MO,male,27.42631
2025-01-05,팰리세이드,MO,male,26.80683
2025-01-06,팰리세이드,MO,male,22.54552
2025-01-07,팰리세이드,MO,male,21.40041
2025-01-08,팰리세이드,MO,male,22.11376
2025-01-09,팰리세이드,MO,male,25.62417
2025-01-10,팰리세이드,MO,male,28.49633
2025-01-11,팰리세이드,MO,male,34.10925
2025-01-12,팰리세이드,MO,male,34.93523
2025-01-13,팰리세이드,MO,male,26.60033
2025-01-14,팰리세이드,MO,male,26.76928
2025-01-15,팰리세이드,MO,male,47.04336
2025-01-16,팰리세이드,MO,male,44.52787
2025-01-17,팰리세이드,MO,male,44.1712
2025-01-18,팰리세이드,MO,male,52.09311
2025-01-19,팰리세이드,MO,male,50.23465
2025-01-20,팰리세이드,MO,male,42.57555
2025-01-21,팰리세이드,MO,male,43.34522
2025-01-22,팰리세이드,MO,male,34.954
2025-01-23,팰리세이드,MO,male,33.95907
2025-01-24,팰리세이드,MO,male,32.47606
2025-01-25,팰리세이드,MO,male,50.45992
2025-01-26,팰리세이드,MO,male,49.05199
2025-01-27,팰리세이드,MO,male,39.06513
2025-01-28,팰리세이드,MO,male,36.88755
2025-01-29,팰리세이드,MO,male,47.04336
2025-01-30,팰리세이드,MO,male,40.60446
2025-01-31,팰리세이드,MO,male,34.52224
2025-02-01,팰리세이드,MO,male,37.28177
2025-02-02,팰리세이드,MO,male,40.94236
2025-02-03,팰리세이드,MO,male,27.72667
2025-02-04,팰리세이드,MO,male,25.04223
2025-02-05,팰리세이드,MO,male,28.00825
2025-02-06,팰리세이드,MO,male,25.28627
2025-02-07,팰리세이드,MO,male,24.3852
2025-02-08,팰리세이드,MO,male,33.45222
2025-02-09,팰리세이드,MO,male,34.09048
2025-02-10,팰리세이드,MO,male,25.39891
2025-02-11,팰리세이드,MO,male,24.36643
2025-02-12,팰리세이드,MO,male,21.79463
2025-02-13,팰리세이드,MO,male,24.44152
2025-02-14,팰리세이드,MO,male,24.68556
2025-02-15,팰리세이드,MO,male,36.58719
2025-02-16,팰리세이드,MO,male,36.36192
2025-02-17,팰리세이드,MO,male,25.39891
2025-02-18,팰리세이드,MO,male,22.71447
2025-02-19,팰리세이드,MO,male,24.44152
2025-02-20,팰리세이드,MO,male,20.79969
2025-02-21,팰리세이드,MO,male,22.37657
2025-02-22,팰리세이드,MO,male,31.12446
2025-02-23,팰리세이드,MO,male,31.78149
2025-02-24,팰리세이드,MO,male,23.78449
2025-02-25,팰리세이드,MO,male,19.82354
2025-02-26,팰리세이드,MO,male,20.46179
2025-02-27,팰리세이드,MO,male,20.19898
2025-02-28,팰리세이드,MO,male,20.06758
2025-03-01,팰리세이드,MO,male,31.38727
2025-03-02,팰리세이드,MO,male,30.4862
2025-03-03,팰리세이드,MO,male,23.20255
2025-03-04,팰리세이드,MO,male,17.08278
2025-03-05,팰리세이드,MO,male,18.77229
2025-03-06,팰리세이드,MO,male,19.33546
2025-03-07,팰리세이드,MO,male,19.50441
2025-03-08,팰리세이드,MO,male,25.21118
2025-03-09,팰리세이드,MO,male,25.71804
2025-03-10,팰리세이드,MO,male,19.50441
2025-03-11,팰리세이드,MO,male,18.54702
2025-03-12,팰리세이드,MO,male,18.09648
2025-03-13,팰리세이드,MO,male,17.85244
2025-03-14,팰리세이드,MO,male,19.35423
2025-03-15,팰리세이드,MO,male,23.59677
2025-03-16,팰리세이드,MO,male,23.165
2025-03-17,팰리세이드,MO,male,18.47193
2025-03-18,팰리세이드,MO,male,18.84738
2025-03-19,팰리세이드,MO,male,16.70733
2025-03-20,팰리세이드,MO,male,17.45823
2025-03-21,팰리세이드,MO,male,18.17157
2025-03-22,팰리세이드,MO,male,23.31518
2025-03-23,팰리세이드,MO,male,23.72817
2025-03-24,팰리세이드,MO,male,17.2705
2025-03-25,팰리세이드,MO,male,15.20555
2025-03-26,팰리세이드,MO,male,15.84381
2025-03-27,팰리세이드,MO,male,16.5947
2025-03-28,팰리세이드,MO,male,16.72611
2025-03-29,팰리세이드,MO,male,21.11882
2025-03-30,팰리세이드,MO,male,20.55565
2025-03-31,팰리세이드,MO,male,17.17664
2025-04-01,팰리세이드,MO,male,16.35066
2025-04-02,팰리세이드,MO,male,15.88135
2025-04-03,팰리세이드,MO,male,15.41205
2025-04-04,팰리세이드,MO,male,16.5947
2025-04-05,팰리세이드,MO,male,22.52675
2025-04-06,팰리세이드,MO,male,21.98235
2025-04-07,팰리세이드,MO,male,18.07771
2025-04-08,팰리세이드,MO,male,16.8012
2025-04-09,팰리세이드,MO,male,17.08278
2025-04-10,팰리세이드,MO,male,16.65102
2025-04-11,팰리세이드,MO,male,16.87629
2025-04-12,팰리세이드,MO,male,20.3867
2025-04-13,팰리세이드,MO,male,19.67336
2025-04-14,팰리세이드,MO,male,16.48207
2025-04-15,팰리세이드,MO,male,16.50084
2025-04-16,팰리세이드,MO,male,15.54345
2025-04-17,팰리세이드,MO,male,17.1391
2025-04-18,팰리세이드,MO,male,17.88999
2025-04-19,팰리세이드,MO,male,21.96358
2025-04-20,팰리세이드,MO,male,23.48413
2025-04-21,팰리세이드,MO,male,16.83874
2025-04-22,팰리세이드,MO,male,16.70733
2025-04-23,팰리세이드,MO,male,16.9326
2025-04-24,팰리세이드,MO,male,16.10662
2025-04-25,팰리세이드,MO,male,17.38314
2025-04-26,팰리세이드,MO,male,24.02853
2025-04-27,팰리세이드,MO,male,23.54045
2025-04-28,팰리세이드,MO,male,15.99399
2025-04-29,팰리세이드,MO,male,16.31312
2025-04-30,팰리세이드,MO,male,14.37957
2025-05-01,팰리세이드,MO,male,17.62718
2025-05-02,팰리세이드,MO,male,16.95137
2025-05-03,팰리세이드,MO,male,23.74694
2025-05-04,팰리세이드,MO,male,27.27614
2025-05-05,팰리세이드,MO,male,24.83574
2025-05-06,팰리세이드,MO,male,21.15637
2025-05-07,팰리세이드,MO,male,15.9189
2025-05-08,팰리세이드,MO,male,17.15787
2025-05-09,팰리세이드,MO,male,17.10155
2025-05-10,팰리세이드,MO,male,21.00619
2025-05-11,팰리세이드,MO,male,20.87478
2025-05-12,팰리세이드,MO,male,18.64088
2025-05-13,팰리세이드,MO,male,20.21775
2025-05-14,팰리세이드,MO,male,19.07264
2025-05-15,팰리세이드,MO,male,17.00769
2025-05-16,팰리세이드,MO,male,17.77736
2025-05-17,팰리세이드,MO,male,23.5029
2025-05-18,팰리세이드,MO,male,21.34409
2025-05-19,팰리세이드,MO,male,17.25173
2025-05-20,팰리세이드,MO,male,17.08278
2025-05-21,팰리세이드,MO,male,16.21926
2025-05-22,팰리세이드,MO,male,16.72611
2025-05-23,팰리세이드,MO,male,17.477
2025-05-24,팰리세이드,MO,male,22.20762
2025-05-25,팰리세이드,MO,male,26.35629
2025-05-26,팰리세이드,MO,male,19.35423
2025-05-27,팰리세이드,MO,male,17.477
2025-05-28,팰리세이드,MO,male,16.4633
2025-05-29,팰리세이드,MO,male,17.30805
2025-05-30,팰리세이드,MO,male,16.68856
2025-05-31,팰리세이드,MO,male,22.93974
2025-06-01,팰리세이드,MO,male,21.36286
2025-06-02,팰리세이드,MO,male,18.41561
2025-06-03,팰리세이드,MO,male,19.72967
2025-06-04,팰리세이드,MO,male,15.84381
2025-06-05,팰리세이드,MO,male,18.65965
2025-06-06,팰리세이드,MO,male,24.53538
2025-06-07,팰리세이드,MO,male,23.61554
2025-06-08,팰리세이드,MO,male,22.97728
2025-06-09,팰리세이드,MO,male,18.99755
2025-06-10,팰리세이드,MO,male,18.97878
2025-06-11,팰리세이드,MO,male,17.19541
2025-06-12,팰리세이드,MO,male,17.85244
2025-06-13,팰리세이드,MO,male,17.10155
2025-06-14,팰리세이드,MO,male,19.99249
2025-06-15,팰리세이드,MO,male,22.77079
2025-06-16,팰리세이드,MO,male,16.44452
2025-06-17,팰리세이드,MO,male,17.75858
2025-06-18,팰리세이드,MO,male,16.81997
2025-06-19,팰리세이드,MO,male,16.70733
