date,group,device,gender,ratio
2025-01-01,아반떼,MO,male,32.58762
2025-01-02,아반떼,MO,male,46.75615
2025-01-03,아반떼,MO,male,48.99328
2025-01-04,아반떼,MO,male,32.66219
2025-01-05,아반떼,MO,male,34.60104
2025-01-06,아반떼,MO,male,56.37583
2025-01-07,아반떼,MO,male,56.9724
2025-01-08,아반떼,MO,male,54.88441
2025-01-09,아반떼,MO,male,48.54586
2025-01-10,아반떼,MO,male,45.33929
2025-01-11,아반떼,MO,male,37.50932
2025-01-12,아반떼,MO,male,36.46532
2025-01-13,아반떼,MO,male,58.16554
2025-01-14,아반떼,MO,male,51.5287
2025-01-15,아반떼,MO,male,49.44071
2025-01-16,아반떼,MO,male,53.84041
2025-01-17,아반떼,MO,male,45.93586
2025-01-18,아반떼,MO,male,34.22818
2025-01-19,아반떼,MO,male,32.43847
2025-01-20,아반떼,MO,male,43.47501
2025-01-21,아반떼,MO,male,48.99328
2025-01-22,아반떼,MO,male,49.81357
2025-01-23,아반떼,MO,male,42.28187
2025-01-24,아반떼,MO,male,46.15958
2025-01-25,아반떼,MO,male,26.69649
2025-01-26,아반떼,MO,male,26.77106
2025-01-27,아반떼,MO,male,30.27591
2025-01-28,아반떼,MO,male,23.11707
2025-01-29,아반떼,MO,male,25.35421
2025-01-30,아반떼,MO,male,31.31991
2025-01-31,아반떼,MO,male,46.90529
2025-02-01,아반떼,MO,male,35.94332
2025-02-02,아반떼,MO,male,33.25876
2025-02-03,아반떼,MO,male,58.98583
2025-02-04,아반떼,MO,male,54.58612
2025-02-05,아반떼,MO,male,57.71812
2025-02-06,아반떼,MO,male,54.1387
2025-02-07,아반떼,MO,male,53.69127
2025-02-08,아반떼,MO,male,32.81133
2025-02-09,아반떼,MO,male,34.15361
2025-02-10,아반떼,MO,male,55.85384
2025-02-11,아반떼,MO,male,50.26099
2025-02-12,아반떼,MO,male,56.9724
2025-02-13,아반떼,MO,male,56.07755
2025-02-14,아반떼,MO,male,54.06413
2025-02-15,아반떼,MO,male,30.42505
2025-02-16,아반떼,MO,male,37.50932
2025-02-17,아반떼,MO,male,50.78299
2025-02-18,아반떼,MO,male,50.26099
2025-02-19,아반떼,MO,male,57.41983
2025-02-20,아반떼,MO,male,51.5287
2025-02-21,아반떼,MO,male,55.92841
2025-02-22,아반떼,MO,male,33.10961
2025-02-23,아반떼,MO,male,38.40417
2025-02-24,아반떼,MO,male,61.74496
2025-02-25,아반떼,MO,male,47.42729
2025-02-26,아반떼,MO,male,54.06413
2025-02-27,아반떼,MO,male,53.84041
2025-02-28,아반떼,MO,male,46.38329
2025-03-01,아반떼,MO,male,27.9642
2025-03-02,아반떼,MO,male,33.85533
2025-03-03,아반떼,MO,male,36.61446
2025-03-04,아반떼,MO,male,51.67785
2025-03-05,아반떼,MO,male,51.15585
2025-03-06,아반떼,MO,male,52.72184
2025-03-07,아반떼,MO,male,47.87472
2025-03-08,아반떼,MO,male,28.18791
2025-03-09,아반떼,MO,male,32.96047
2025-03-10,아반떼,MO,male,51.15585
2025-03-11,아반떼,MO,male,58.5384
2025-03-12,아반떼,MO,male,48.91871
2025-03-13,아반떼,MO,male,41.53616
2025-03-14,아반떼,MO,male,41.90902
2025-03-15,아반떼,MO,male,31.8419
2025-03-16,아반떼,MO,male,30.20134
2025-03-17,아반떼,MO,male,55.25727
2025-03-18,아반떼,MO,male,46.75615
2025-03-19,아반떼,MO,male,49.81357
2025-03-20,아반떼,MO,male,51.97613
2025-03-21,아반떼,MO,male,44.8173
2025-03-22,아반떼,MO,male,31.46905
2025-03-23,아반떼,MO,male,33.85533
2025-03-24,아반떼,MO,male,55.70469
2025-03-25,아반떼,MO,male,53.31841
2025-03-26,아반떼,MO,male,46.607
2025-03-27,아반떼,MO,male,42.35645
2025-03-28,아반떼,MO,male,41.46159
2025-03-29,아반떼,MO,male,26.47278
2025-03-30,아반떼,MO,male,30.79791
2025-03-31,아반떼,MO,male,45.11558
2025-04-01,아반떼,MO,male,39.67188
2025-04-02,아반떼,MO,male,40.93959
2025-04-03,아반떼,MO,male,36.31618
2025-04-04,아반떼,MO,male,36.83818
2025-04-05,아반떼,MO,male,28.18791
2025-04-06,아반떼,MO,male,25.50335
2025-04-07,아반떼,MO,male,53.0947
2025-04-08,아반떼,MO,male,55.25727
2025-04-09,아반떼,MO,male,50.55928
2025-04-10,아반떼,MO,male,42.35645
2025-04-11,아반떼,MO,male,39.82102
2025-04-12,아반떼,MO,male,27.4422
2025-04-13,아반떼,MO,male,28.70991
2025-04-14,아반떼,MO,male,51.08128
