date,group,device,gender,ratio
2025-01-01,아반떼,pc,female,22.07207
2025-01-02,아반떼,pc,female,46.39639
2025-01-03,아반떼,pc,female,55.85585
2025-01-04,아반떼,pc,female,27.25225
2025-01-05,아반떼,pc,female,25.67567
2025-01-06,아반떼,pc,female,55.4054
2025-01-07,아반떼,pc,female,64.86486
2025-01-08,아반떼,pc,female,58.55855
2025-01-09,아반떼,pc,female,51.12612
2025-01-10,아반떼,pc,female,46.39639
2025-01-11,아반떼,pc,female,19.81981
2025-01-12,아반떼,pc,female,22.74774
2025-01-13,아반떼,pc,female,79.72972
2025-01-14,아반떼,pc,female,61.71171
2025-01-15,아반떼,pc,female,62.16216
2025-01-16,아반떼,pc,female,64.41441
2025-01-17,아반떼,pc,female,67.34234
2025-01-18,아반떼,pc,female,18.91891
2025-01-19,아반떼,pc,female,23.87387
2025-01-20,아반떼,pc,female,58.78378
2025-01-21,아반떼,pc,female,57.43243
2025-01-22,아반떼,pc,female,60.36036
2025-01-23,아반떼,pc,female,51.35135
2025-01-24,아반떼,pc,female,49.77477
2025-01-25,아반떼,pc,female,19.14414
2025-01-26,아반떼,pc,female,17.11711
2025-01-27,아반떼,pc,female,21.62162
2025-01-28,아반떼,pc,female,20.49549
2025-01-29,아반떼,pc,female,13.96396
2025-01-30,아반떼,pc,female,23.64864
2025-01-31,아반떼,pc,female,59.9099
2025-02-01,아반떼,pc,female,25.22522
2025-02-02,아반떼,pc,female,20.72072
2025-02-03,아반떼,pc,female,69.59459
2025-02-04,아반떼,pc,female,72.29729
2025-02-05,아반떼,pc,female,62.83783
2025-02-06,아반떼,pc,female,56.75675
2025-02-07,아반떼,pc,female,62.38738
2025-02-08,아반떼,pc,female,21.17117
2025-02-09,아반떼,pc,female,26.57657
2025-02-10,아반떼,pc,female,54.95495
2025-02-11,아반떼,pc,female,60.13513
2025-02-12,아반떼,pc,female,59.009
2025-02-13,아반떼,pc,female,63.28828
2025-02-14,아반떼,pc,female,65.31531
2025-02-15,아반떼,pc,female,28.6036
2025-02-16,아반떼,pc,female,23.42342
2025-02-17,아반떼,pc,female,72.97297
2025-02-18,아반떼,pc,female,56.08108
2025-02-19,아반떼,pc,female,74.77477
2025-02-20,아반떼,pc,female,62.16216
2025-02-21,아반떼,pc,female,68.91891
2025-02-22,아반떼,pc,female,22.52252
2025-02-23,아반떼,pc,female,22.74774
2025-02-24,아반떼,pc,female,51.8018
2025-02-25,아반떼,pc,female,59.68468
2025-02-26,아반떼,pc,female,61.26126
2025-02-27,아반떼,pc,female,55.63063
2025-02-28,아반떼,pc,female,53.82882
2025-03-01,아반떼,pc,female,13.96396
2025-03-02,아반떼,pc,female,18.46846
2025-03-03,아반떼,pc,female,32.2072
2025-03-04,아반떼,pc,female,59.009
2025-03-05,아반떼,pc,female,59.45945
2025-03-06,아반떼,pc,female,56.53153
2025-03-07,아반떼,pc,female,54.27927
2025-03-08,아반떼,pc,female,21.84684
2025-03-09,아반떼,pc,female,18.91891
2025-03-10,아반떼,pc,female,67.56756
2025-03-11,아반떼,pc,female,62.83783
2025-03-12,아반떼,pc,female,64.63963
2025-03-13,아반떼,pc,female,51.12612
2025-03-14,아반떼,pc,female,49.54954
2025-03-15,아반떼,pc,female,23.19819
2025-03-16,아반떼,pc,female,21.17117
2025-03-17,아반떼,pc,female,66.21621
2025-03-18,아반떼,pc,female,49.32432
2025-03-19,아반떼,pc,female,64.86486
2025-03-20,아반떼,pc,female,62.38738
2025-03-21,아반떼,pc,female,58.55855
2025-03-22,아반떼,pc,female,17.79279
2025-03-23,아반떼,pc,female,24.32432
2025-03-24,아반떼,pc,female,67.79279
2025-03-25,아반떼,pc,female,62.16216
2025-03-26,아반떼,pc,female,49.32432
2025-03-27,아반떼,pc,female,46.84684
2025-03-28,아반떼,pc,female,62.61261
2025-03-29,아반떼,pc,female,20.72072
2025-03-30,아반떼,pc,female,20.27027
2025-03-31,아반떼,pc,female,48.87387
2025-04-01,아반떼,pc,female,54.05405
2025-04-02,아반떼,pc,female,56.3063
2025-04-03,아반떼,pc,female,43.01801
2025-04-04,아반떼,pc,female,53.82882
2025-04-05,아반떼,pc,female,20.27027
2025-04-06,아반떼,pc,female,20.49549
2025-04-07,아반떼,pc,female,62.83783
2025-04-08,아반떼,pc,female,62.38738
2025-04-09,아반떼,pc,female,65.99099
2025-04-10,아반떼,pc,female,60.13513
2025-04-11,아반떼,pc,female,53.37837
2025-04-12,아반떼,pc,female,22.07207
2025-04-13,아반떼,pc,female,25.22522
2025-04-14,아반떼,pc,female,63.51351
