date,group,device,gender,ratio
2025-01-01,아이오닉9,pc,male,1.7039
2025-01-02,아이오닉9,pc,male,7.05674
2025-01-03,아이오닉9,pc,male,6.7674
2025-01-04,아이오닉9,pc,male,2.37903
2025-01-05,아이오닉9,pc,male,1.92895
2025-01-06,아이오닉9,pc,male,6.34946
2025-01-07,아이오닉9,pc,male,6.28516
2025-01-08,아이오닉9,pc,male,5.96367
2025-01-09,아이오닉9,pc,male,5.48143
2025-01-10,아이오닉9,pc,male,6.67095
2025-01-11,아이오닉9,pc,male,2.07362
2025-01-12,아이오닉9,pc,male,2.44333
2025-01-13,아이오닉9,pc,male,11.97556
2025-01-14,아이오닉9,pc,male,10.40025
2025-01-15,아이오닉9,pc,male,8.14981
2025-01-16,아이오닉9,pc,male,7.29786
2025-01-17,아이오닉9,pc,male,7.24963
2025-01-18,아이오닉9,pc,male,1.99324
2025-01-19,아이오닉9,pc,male,1.86465
2025-01-20,아이오닉9,pc,male,7.44253
2025-01-21,아이오닉9,pc,male,7.78009
2025-01-22,아이오닉9,pc,male,8.58382
2025-01-23,아이오닉9,pc,male,7.90869
2025-01-24,아이오닉9,pc,male,5.65825
2025-01-25,아이오닉9,pc,male,1.73605
2025-01-26,아이오닉9,pc,male,1.96109
2025-01-27,아이오닉9,pc,male,2.00932
2025-01-28,아이오닉9,pc,male,1.35026
2025-01-29,아이오닉9,pc,male,1.86465
2025-01-30,아이오닉9,pc,male,2.25044
2025-01-31,아이오닉9,pc,male,7.13711
2025-02-01,아이오닉9,pc,male,2.10577
2025-02-02,아이오닉9,pc,male,3.08632
2025-02-03,아이오닉9,pc,male,83.55569
2025-02-04,아이오닉9,pc,male,100
2025-02-05,아이오닉9,pc,male,67.48111
2025-02-06,아이오닉9,pc,male,63.68751
2025-02-07,아이오닉9,pc,male,40.71692
2025-02-08,아이오닉9,pc,male,10.80212
2025-02-09,아이오닉9,pc,male,11.60585
2025-02-10,아이오닉9,pc,male,30.0434
2025-02-11,아이오닉9,pc,male,28.03407
2025-02-12,아이오닉9,pc,male,27.43931
2025-02-13,아이오닉9,pc,male,95.19369
2025-02-14,아이오닉9,pc,male,51.31007
2025-02-15,아이오닉9,pc,male,12.55425
2025-02-16,아이오닉9,pc,male,12.28098
2025-02-17,아이오닉9,pc,male,32.67963
2025-02-18,아이오닉9,pc,male,33.03327
2025-02-19,아이오닉9,pc,male,31.8116
2025-02-20,아이오닉9,pc,male,31.69908
2025-02-21,아이오닉9,pc,male,24.62626
2025-02-22,아이오닉9,pc,male,9.56437
2025-02-23,아이오닉9,pc,male,9.40363
2025-02-24,아이오닉9,pc,male,25.84793
2025-02-25,아이오닉9,pc,male,17.76241
2025-02-26,아이오닉9,pc,male,20.12538
2025-02-27,아이오닉9,pc,male,17.95531
2025-02-28,아이오닉9,pc,male,14.03311
2025-03-01,아이오닉9,pc,male,7.07281
2025-03-02,아이오닉9,pc,male,7.15319
2025-03-03,아이오닉9,pc,male,10.89856
2025-03-04,아이오닉9,pc,male,17.71419
2025-03-05,아이오닉9,pc,male,16.79794
2025-03-06,아이오닉9,pc,male,18.55007
2025-03-07,아이오닉9,pc,male,15.92991
2025-03-08,아이오닉9,pc,male,7.4586
2025-03-09,아이오닉9,pc,male,7.82832
2025-03-10,아이오닉9,pc,male,18.30895
2025-03-11,아이오닉9,pc,male,18.91978
2025-03-12,아이오닉9,pc,male,18.87156
2025-03-13,아이오닉9,pc,male,16.38
2025-03-14,아이오닉9,pc,male,13.92059
2025-03-15,아이오닉9,pc,male,6.30123
2025-03-16,아이오닉9,pc,male,6.62272
2025-03-17,아이오닉9,pc,male,19.41809
2025-03-18,아이오닉9,pc,male,15.51197
2025-03-19,아이오닉9,pc,male,15.83346
2025-03-20,아이오닉9,pc,male,14.80469
2025-03-21,아이오닉9,pc,male,13.37405
2025-03-22,아이오닉9,pc,male,5.64217
2025-03-23,아이오닉9,pc,male,5.64217
2025-03-24,아이오닉9,pc,male,14.67609
2025-03-25,아이오닉9,pc,male,15.04581
2025-03-26,아이오닉9,pc,male,11.73444
2025-03-27,아이오닉9,pc,male,14.70824
2025-03-28,아이오닉9,pc,male,11.25221
2025-03-29,아이오닉9,pc,male,6.46198
2025-03-30,아이오닉9,pc,male,5.01527
2025-03-31,아이오닉9,pc,male,14.04918
2025-04-01,아이오닉9,pc,male,13.39013
2025-04-02,아이오닉9,pc,male,13.80806
2025-04-03,아이오닉9,pc,male,13.66339
2025-04-04,아이오닉9,pc,male,10.4324
2025-04-05,아이오닉9,pc,male,6.91207
2025-04-06,아이오닉9,pc,male,5.40106
2025-04-07,아이오닉9,pc,male,14.00096
2025-04-08,아이오닉9,pc,male,15.04581
2025-04-09,아이오닉9,pc,male,14.82076
2025-04-10,아이오닉9,pc,male,12.2649
2025-04-11,아이오닉9,pc,male,11.04324
2025-04-12,아이오닉9,pc,male,5.70647
2025-04-13,아이오닉9,pc,male,5.17601
2025-04-14,아이오닉9,pc,male,16.17103
2025-04-15,아이오닉9,pc,male,13.05256
2025-04-16,아이오닉9,pc,male,12.84359
2025-04-17,아이오닉9,pc,male,13.43835
2025-04-18,아이오닉9,pc,male,11.97556
2025-04-19,아이오닉9,pc,male,5.19209
2025-04-20,아이오닉9,pc,male,4.38836
2025-04-21,아이오닉9,pc,male,12.87574
2025-04-22,아이오닉9,pc,male,12.87574
2025-04-23,아이오닉9,pc,male,11.86304
2025-04-24,아이오닉9,pc,male,12.79537
2025-04-25,아이오닉9,pc,male,11.20398
2025-04-26,아이오닉9,pc,male,3.31136
2025-04-27,아이오닉9,pc,male,4.03472
2025-04-28,아이오닉9,pc,male,11.18791
2025-04-29,아이오닉9,pc,male,11.23613
2025-04-30,아이오닉9,pc,male,10.09484
2025-05-01,아이오닉9,pc,male,6.83169
2025-05-02,아이오닉9,pc,male,8.92139
2025-05-03,아이오닉9,pc,male,3.56855
2025-05-04,아이오닉9,pc,male,2.7166
2025-05-05,아이오닉9,pc,male,4.01864
2025-05-06,아이오닉9,pc,male,6.4459
2025-05-07,아이오닉9,pc,male,11.41295
2025-05-08,아이오닉9,pc,male,11.49332
2025-05-09,아이오닉9,pc,male,17.47307
2025-05-10,아이오닉9,pc,male,5.67432
2025-05-11,아이오닉9,pc,male,4.82237
2025-05-12,아이오닉9,pc,male,12.94004
2025-05-13,아이오닉9,pc,male,16.97476
2025-05-14,아이오닉9,pc,male,13.11686
2025-05-15,아이오닉9,pc,male,11.58977
2025-05-16,아이오닉9,pc,male,10.93071
2025-05-17,아이오닉9,pc,male,3.90612
2025-05-18,아이오닉9,pc,male,3.63285
2025-05-19,아이오닉9,pc,male,12.23276
2025-05-20,아이오닉9,pc,male,12.89181
2025-05-21,아이오닉9,pc,male,12.13631
2025-05-22,아이오닉9,pc,male,11.76659
2025-05-23,아이오닉9,pc,male,11.15576
2025-05-24,아이오닉9,pc,male,5.19209
2025-05-25,아이오닉9,pc,male,4.14724
2025-05-26,아이오닉9,pc,male,14.94936
2025-05-27,아이오닉9,pc,male,12.37743
2025-05-28,아이오닉9,pc,male,12.90789
2025-05-29,아이오닉9,pc,male,12.77929
2025-05-30,아이오닉9,pc,male,16.66934
2025-05-31,아이오닉9,pc,male,7.4586
2025-06-01,아이오닉9,pc,male,5.41713
2025-06-02,아이오닉9,pc,male,13.66339
2025-06-03,아이오닉9,pc,male,5.819
2025-06-04,아이오닉9,pc,male,11.68622
2025-06-05,아이오닉9,pc,male,10.94679
2025-06-06,아이오닉9,pc,male,4.29191
2025-06-07,아이오닉9,pc,male,4.08294
2025-06-08,아이오닉9,pc,male,4.34013
2025-06-09,아이오닉9,pc,male,13.59909
2025-06-10,아이오닉9,pc,male,11.83089
2025-06-11,아이오닉9,pc,male,13.22938
2025-06-12,아이오닉9,pc,male,10.60922
2025-06-13,아이오닉9,pc,male,11.47725
2025-06-14,아이오닉9,pc,male,5.25638
2025-06-15,아이오닉9,pc,male,5.24031
2025-06-16,아이오닉9,pc,male,13.67947
2025-06-17,아이오닉9,pc,male,11.89519
2025-06-18,아이오닉9,pc,male,10.94679
2025-06-19,아이오닉9,pc,male,10.67352
2025-06-20,아이오닉9,pc,male,11.15576
2025-06-21,아이오닉9,pc,male,5.64217
2025-06-22,아이오닉9,pc,male,4.64555
2025-06-23,아이오닉9,pc,male,13.4062
2025-06-24,아이오닉9,pc,male,12.02379
2025-06-25,아이오닉9,pc,male,11.71837
2025-06-26,아이오닉9,pc,male,10.88249
2025-06-27,아이오닉9,pc,male,8.98569
2025-06-28,아이오닉9,pc,male,4.4848
