date,group,device,gender,ratio
2025-01-01,EV4,MO,male,3.74425
2025-01-02,EV4,MO,male,2.86117
2025-01-03,EV4,MO,male,3.00247
2025-01-04,EV4,MO,male,2.8965
2025-01-05,EV4,MO,male,3.10844
2025-01-06,EV4,MO,male,3.17908
2025-01-07,EV4,MO,male,2.96714
2025-01-08,EV4,MO,male,3.07311
2025-01-09,EV4,MO,male,3.42635
2025-01-10,EV4,MO,male,3.28505
2025-01-11,EV4,MO,male,3.46167
2025-01-12,EV4,MO,male,3.99152
2025-01-13,EV4,MO,male,3.28505
2025-01-14,EV4,MO,male,3.07311
2025-01-15,EV4,MO,male,3.00247
2025-01-16,EV4,MO,male,3.39102
2025-01-17,EV4,MO,male,3.49699
2025-01-18,EV4,MO,male,3.63829
2025-01-19,EV4,MO,male,4.62734
2025-01-20,EV4,MO,male,3.63829
2025-01-21,EV4,MO,male,3.67361
2025-01-22,EV4,MO,male,3.17908
2025-01-23,EV4,MO,male,4.62734
2025-01-24,EV4,MO,male,3.32038
2025-01-25,EV4,MO,male,4.48604
2025-01-26,EV4,MO,male,5.72235
2025-01-27,EV4,MO,male,4.02684
2025-01-28,EV4,MO,male,4.13281
2025-01-29,EV4,MO,male,4.52137
2025-01-30,EV4,MO,male,4.48604
2025-01-31,EV4,MO,male,4.13281
2025-02-01,EV4,MO,male,4.16813
2025-02-02,EV4,MO,male,5.3338
2025-02-03,EV4,MO,male,3.92087
2025-02-04,EV4,MO,male,4.13281
2025-02-05,EV4,MO,male,4.7333
2025-02-06,EV4,MO,male,4.38007
2025-02-07,EV4,MO,male,4.02684
2025-02-08,EV4,MO,male,5.61638
2025-02-09,EV4,MO,male,5.72235
2025-02-10,EV4,MO,male,3.92087
2025-02-11,EV4,MO,male,3.99152
2025-02-12,EV4,MO,male,3.32038
2025-02-13,EV4,MO,male,7.27658
2025-02-14,EV4,MO,male,13.03426
2025-02-15,EV4,MO,male,15.36559
2025-02-16,EV4,MO,male,9.71388
2025-02-17,EV4,MO,male,41.57541
2025-02-18,EV4,MO,male,37.68986
2025-02-19,EV4,MO,male,24.23172
2025-02-20,EV4,MO,male,19.00388
2025-02-21,EV4,MO,male,17.16707
2025-02-22,EV4,MO,male,25.07947
2025-02-23,EV4,MO,male,23.24267
2025-02-24,EV4,MO,male,18.08548
2025-02-25,EV4,MO,male,24.54962
2025-02-26,EV4,MO,male,16.24867
2025-02-27,EV4,MO,male,48.85199
2025-02-28,EV4,MO,male,96.85623
2025-03-01,EV4,MO,male,60.50865
2025-03-02,EV4,MO,male,44.64853
2025-03-03,EV4,MO,male,39.95054
2025-03-04,EV4,MO,male,26.70434
2025-03-05,EV4,MO,male,28.71776
2025-03-06,EV4,MO,male,24.40833
2025-03-07,EV4,MO,male,24.01978
2025-03-08,EV4,MO,male,30.69586
2025-03-09,EV4,MO,male,27.97598
2025-03-10,EV4,MO,male,53.65595
2025-03-11,EV4,MO,male,69.58671
2025-03-12,EV4,MO,male,60.64994
2025-03-13,EV4,MO,male,52.77287
2025-03-14,EV4,MO,male,51.148
2025-03-15,EV4,MO,male,74.00211
2025-03-16,EV4,MO,male,71.28223
2025-03-17,EV4,MO,male,41.54009
2025-03-18,EV4,MO,male,40.44507
2025-03-19,EV4,MO,male,37.47792
2025-03-20,EV4,MO,male,42.14058
2025-03-21,EV4,MO,male,36.66548
2025-03-22,EV4,MO,male,52.03108
2025-03-23,EV4,MO,male,45.60226
2025-03-24,EV4,MO,male,30.13069
2025-03-25,EV4,MO,male,30.13069
2025-03-26,EV4,MO,male,28.71776
2025-03-27,EV4,MO,male,29.91875
2025-03-28,EV4,MO,male,25.60932
2025-03-29,EV4,MO,male,41.01024
2025-03-30,EV4,MO,male,37.72518
2025-03-31,EV4,MO,male,30.94312
2025-04-01,EV4,MO,male,24.26704
2025-04-02,EV4,MO,male,27.4108
2025-04-03,EV4,MO,male,30.34263
2025-04-04,EV4,MO,male,26.45708
2025-04-05,EV4,MO,male,49.66442
2025-04-06,EV4,MO,male,46.23807
2025-04-07,EV4,MO,male,29.07099
2025-04-08,EV4,MO,male,30.69586
2025-04-09,EV4,MO,male,33.52172
2025-04-10,EV4,MO,male,34.05157
2025-04-11,EV4,MO,male,33.83963
2025-04-12,EV4,MO,male,43.55351
2025-04-13,EV4,MO,male,44.68385
2025-04-14,EV4,MO,male,28.32921
2025-04-15,EV4,MO,male,26.38643
2025-04-16,EV4,MO,male,26.4924
2025-04-17,EV4,MO,male,29.5302
2025-04-18,EV4,MO,male,29.00035
2025-04-19,EV4,MO,male,35.25256
2025-04-20,EV4,MO,male,33.83963
2025-04-21,EV4,MO,male,28.25856
2025-04-22,EV4,MO,male,26.13917
2025-04-23,EV4,MO,male,26.42175
2025-04-24,EV4,MO,male,32.21476
2025-04-25,EV4,MO,male,37.23066
2025-04-26,EV4,MO,male,38.60826
2025-04-27,EV4,MO,male,37.72518
2025-04-28,EV4,MO,male,24.90286
2025-04-29,EV4,MO,male,34.26351
2025-04-30,EV4,MO,male,29.81278
2025-05-01,EV4,MO,male,33.13316
2025-05-02,EV4,MO,male,32.14411
2025-05-03,EV4,MO,male,37.26598
2025-05-04,EV4,MO,male,39.10279
2025-05-05,EV4,MO,male,36.10031
2025-05-06,EV4,MO,male,31.9675
