date,group,device,gender,ratio
2025-01-01,봉고3,MO,male,4.25667
2025-01-02,봉고3,MO,male,5.39434
2025-01-03,봉고3,MO,male,5.68835
2025-01-04,봉고3,MO,male,4.70407
2025-01-05,봉고3,MO,male,4.02658
2025-01-06,봉고3,MO,male,6.12297
2025-01-07,봉고3,MO,male,7.2862
2025-01-08,봉고3,MO,male,7.05611
2025-01-09,봉고3,MO,male,6.41697
2025-01-10,봉고3,MO,male,6.58315
2025-01-11,봉고3,MO,male,5.81618
2025-01-12,봉고3,MO,male,4.85747
2025-01-13,봉고3,MO,male,5.50939
2025-01-14,봉고3,MO,male,6.36584
2025-01-15,봉고3,MO,male,6.32749
2025-01-16,봉고3,MO,male,6.23801
2025-01-17,봉고3,MO,male,5.56052
2025-01-18,봉고3,MO,male,4.92138
2025-01-19,봉고3,MO,male,4.85747
2025-01-20,봉고3,MO,male,6.30193
2025-01-21,봉고3,MO,male,6.37862
2025-01-22,봉고3,MO,male,5.49661
2025-01-23,봉고3,MO,male,5.65
2025-01-24,봉고3,MO,male,5.33043
2025-01-25,봉고3,MO,male,4.87025
2025-01-26,봉고3,MO,male,4.42285
2025-01-27,봉고3,MO,male,4.66572
2025-01-28,봉고3,MO,male,4.32059
2025-01-29,봉고3,MO,male,4.74242
2025-01-30,봉고3,MO,male,4.33337
2025-01-31,봉고3,MO,male,5.63722
2025-02-01,봉고3,MO,male,4.92138
2025-02-02,봉고3,MO,male,5.07477
2025-02-03,봉고3,MO,male,7.22229
2025-02-04,봉고3,MO,male,5.95679
2025-02-05,봉고3,MO,male,6.82602
2025-02-06,봉고3,MO,male,6.07183
2025-02-07,봉고3,MO,male,6.14853
2025-02-08,봉고3,MO,male,5.22817
2025-02-09,봉고3,MO,male,5.07477
2025-02-10,봉고3,MO,male,6.41697
2025-02-11,봉고3,MO,male,6.34027
2025-02-12,봉고3,MO,male,6.64706
2025-02-13,봉고3,MO,male,7.22229
2025-02-14,봉고3,MO,male,6.45532
