date,group,device,gender,ratio
2025-01-01,쏘렌토,pc,female,10.49382
2025-01-02,쏘렌토,pc,female,33.48765
2025-01-03,쏘렌토,pc,female,29.01234
2025-01-04,쏘렌토,pc,female,11.88271
2025-01-05,쏘렌토,pc,female,12.96296
2025-01-06,쏘렌토,pc,female,43.20987
2025-01-07,쏘렌토,pc,female,42.28395
2025-01-08,쏘렌토,pc,female,37.5
2025-01-09,쏘렌토,pc,female,40.89506
2025-01-10,쏘렌토,pc,female,30.24691
2025-01-11,쏘렌토,pc,female,12.5
2025-01-12,쏘렌토,pc,female,9.25925
2025-01-13,쏘렌토,pc,female,40.12345
2025-01-14,쏘렌토,pc,female,44.29012
2025-01-15,쏘렌토,pc,female,44.59876
2025-01-16,쏘렌토,pc,female,44.29012
2025-01-17,쏘렌토,pc,female,37.34567
2025-01-18,쏘렌토,pc,female,12.5
2025-01-19,쏘렌토,pc,female,9.25925
2025-01-20,쏘렌토,pc,female,43.05555
2025-01-21,쏘렌토,pc,female,41.9753
2025-01-22,쏘렌토,pc,female,34.41358
2025-01-23,쏘렌토,pc,female,31.17283
2025-01-24,쏘렌토,pc,female,26.38888
2025-01-25,쏘렌토,pc,female,8.02469
2025-01-26,쏘렌토,pc,female,7.71604
2025-01-27,쏘렌토,pc,female,8.17901
2025-01-28,쏘렌토,pc,female,7.87037
2025-01-29,쏘렌토,pc,female,6.79012
2025-01-30,쏘렌토,pc,female,12.96296
2025-01-31,쏘렌토,pc,female,32.71604
2025-02-01,쏘렌토,pc,female,10.95679
2025-02-02,쏘렌토,pc,female,12.34567
2025-02-03,쏘렌토,pc,female,43.67283
2025-02-04,쏘렌토,pc,female,39.81481
2025-02-05,쏘렌토,pc,female,36.57407
2025-02-06,쏘렌토,pc,female,37.5
2025-02-07,쏘렌토,pc,female,35.18518
2025-02-08,쏘렌토,pc,female,13.11728
2025-02-09,쏘렌토,pc,female,11.41975
2025-02-10,쏘렌토,pc,female,46.75925
2025-02-11,쏘렌토,pc,female,43.98148
2025-02-12,쏘렌토,pc,female,40.27777
2025-02-13,쏘렌토,pc,female,34.10493
2025-02-14,쏘렌토,pc,female,33.79629
2025-02-15,쏘렌토,pc,female,11.57407
2025-02-16,쏘렌토,pc,female,10.95679
2025-02-17,쏘렌토,pc,female,41.82098
2025-02-18,쏘렌토,pc,female,41.9753
2025-02-19,쏘렌토,pc,female,33.17901
2025-02-20,쏘렌토,pc,female,36.72839
