date,group,device,gender,ratio
2025-01-01,EV4,pc,male,1.73893
2025-01-02,EV4,pc,male,3.14769
2025-01-03,EV4,pc,male,3.3458
2025-01-04,EV4,pc,male,1.25467
2025-01-05,EV4,pc,male,1.1226
2025-01-06,EV4,pc,male,3.60994
2025-01-07,EV4,pc,male,3.32379
2025-01-08,EV4,pc,male,2.83953
2025-01-09,EV4,pc,male,2.92758
2025-01-10,EV4,pc,male,3.05965
2025-01-11,EV4,pc,male,1.21065
2025-01-12,EV4,pc,male,1.07858
2025-01-13,EV4,pc,male,4.13823
2025-01-14,EV4,pc,male,4.42438
2025-01-15,EV4,pc,male,3.01562
2025-01-16,EV4,pc,male,3.12568
2025-01-17,EV4,pc,male,3.41184
2025-01-18,EV4,pc,male,1.65089
2025-01-19,EV4,pc,male,1.56284
2025-01-20,EV4,pc,male,4.07219
2025-01-21,EV4,pc,male,4.95267
2025-01-22,EV4,pc,male,3.94012
2025-01-23,EV4,pc,male,3.94012
2025-01-24,EV4,pc,male,3.69799
2025-01-25,EV4,pc,male,1.43077
2025-01-26,EV4,pc,male,1.36473
2025-01-27,EV4,pc,male,1.40876
2025-01-28,EV4,pc,male,1.16662
2025-01-29,EV4,pc,male,0.85846
2025-01-30,EV4,pc,male,1.36473
2025-01-31,EV4,pc,male,4.05018
2025-02-01,EV4,pc,male,1.95905
2025-02-02,EV4,pc,male,1.78296
2025-02-03,EV4,pc,male,5.28285
2025-02-04,EV4,pc,male,5.83314
2025-02-05,EV4,pc,male,4.40237
2025-02-06,EV4,pc,male,7.77019
2025-02-07,EV4,pc,male,4.55646
2025-02-08,EV4,pc,male,2.00308
2025-02-09,EV4,pc,male,1.76095
2025-02-10,EV4,pc,male,4.09421
2025-02-11,EV4,pc,male,4.86462
2025-02-12,EV4,pc,male,4.84261
2025-02-13,EV4,pc,male,10.16949
2025-02-14,EV4,pc,male,18.18181
2025-02-15,EV4,pc,male,5.23882
2025-02-16,EV4,pc,male,3.30178
2025-02-17,EV4,pc,male,62.27162
2025-02-18,EV4,pc,male,49.59278
2025-02-19,EV4,pc,male,23.33259
2025-02-20,EV4,pc,male,17.12524
2025-02-21,EV4,pc,male,14.52784
2025-02-22,EV4,pc,male,9.37706
2025-02-23,EV4,pc,male,5.83314
2025-02-24,EV4,pc,male,19.39247
2025-02-25,EV4,pc,male,23.50869
2025-02-26,EV4,pc,male,15.36429
2025-02-27,EV4,pc,male,50.86946
2025-02-28,EV4,pc,male,100
